alpha,beta,gamma,gamma_beta_ratio,r_d1,r_d1_std,r_d2,r_d2_std,r_d3,r_d3_std,r_d4,r_d4_std,modularity,modularity_std,edr_assort,edr_assort_std,contrast_cross,contrast_cross_std,delta_contrast,delta_contrast_std,delta_comparator,delta_comparator_std,loss,loss_std
0.25,0.003,0.01,3.3333333333333335,0.5539008544185571,0.05028333942562515,0.5105291334773637,0.08396037084377474,0.36111787130248685,0.11472758090539159,-0.49101115653221744,0.07574253165157402,0.442537564439351,0.007936035765807972,0.3283150077069876,0.041056266531140966,0.8014327806533433,0.03767504100594656,0.7168283775738679,0.020350499538241168,0.13852166489274767,0.010958796420656294,0.7192305000343844,0.08468663334581725
0.3,0.005,0.006,1.2,0.65598475075824,0.03494884366248191,0.5420440364505422,0.056171151308076976,0.3423297697521207,0.09702700817613337,-0.5353023636063159,0.06100221972639571,0.44316400156408803,0.007894948056782133,0.39174409468650534,0.027476493940474793,0.9026210381272834,0.025770708287711747,0.7086578703292086,0.014550287792194421,0.14200649128134898,0.006420856494172419,0.7241623656114177,0.06999495891918445
0.28,0.005,0.004,0.8,0.7014443720592588,0.0419943496975186,0.615212222362532,0.05253852586642254,0.46260753928993753,0.0965904626369753,-0.6012704484888954,0.05188712083337049,0.44181186321535393,0.0066343960838347055,0.4393836311651347,0.03784252218705003,0.876875681942364,0.026531780165426913,0.6258382141815014,0.02038485646148953,0.12714052212232976,0.0057190634005731735,0.7242252888630692,0.08802897296900918
0.25,0.005,0.01,2.0,0.5572421341212619,0.0408583163620205,0.5279748925170228,0.06228013892336398,0.3391116839045286,0.12941031896534852,-0.5144690947263506,0.06511001802078666,0.4452191143644434,0.009841726680812615,0.3330066316386658,0.03479590888463553,0.8088548298723767,0.031972054393118496,0.7230871942493842,0.026643770016234053,0.13569395962669928,0.007617084157969818,0.7327108250515738,0.08199550676328839
0.28,0.005,0.006,1.2,0.6544928120446786,0.04197078259333602,0.5829307454147223,0.048556701949251664,0.4373239317613923,0.09181748085844907,-0.5740616073431606,0.052852627276750254,0.4424865480283994,0.00612976601814332,0.4027170210077453,0.03497997836107309,0.8718524196249297,0.033365591538376774,0.6883426698135112,0.020666783040149347,0.13641943866602552,0.007582423492128979,0.7350384498668625,0.08421596380645743
0.28,0.003,0.008,2.6666666666666665,0.5795514871484485,0.034705908455580345,0.5161434472580884,0.05795608907550055,0.35909733131537586,0.11439774543669955,-0.5091852843324485,0.06492510414896521,0.4436857418400053,0.008216890144338393,0.34270448615104826,0.024999295143995997,0.8428955353427018,0.03736980383936256,0.7289608751776079,0.02266337877184608,0.14925352579205,0.008004647561974299,0.7367486454701144,0.0621042633936221
0.3,0.003,0.004,1.3333333333333333,0.6825770044889568,0.03973067791769173,0.5888131001748613,0.056793202299981874,0.45134982153572817,0.0999363177572756,-0.5922388680809954,0.0534205666055315,0.44549722713448164,0.008449904614909366,0.4207713422622555,0.03578211561356271,0.8990883338836444,0.02509221959844429,0.6454220467234284,0.017799704648176724,0.13901113246501468,0.005673794318991704,0.7544143347524268,0.07227215751926637
0.3,0.005,0.008,1.6,0.6083887754673328,0.03704659287396212,0.5124409141119106,0.05733458036388228,0.3184597833363674,0.0938659717308284,-0.503698531904381,0.0583358701472575,0.44295249965256434,0.0072865652206281885,0.3569712297193866,0.02528471418803047,0.8966997307336311,0.026520246606891555,0.7553897197977019,0.01968683523194144,0.14936561214568347,0.007576566836946114,0.759821925701138,0.06271302432322354
0.28,0.005,0.008,1.6,0.6052985979373652,0.04747477900365784,0.5412968323303352,0.05725157278642291,0.39760311648773283,0.09938518505049926,-0.545309648680848,0.05641092572277057,0.4426447018875349,0.008984280457766272,0.3648143182815812,0.038142176349001224,0.8691752641747069,0.030063138793760324,0.7371447060226335,0.020937644936073925,0.14389689032631217,0.009223051076261113,0.7682118118472332,0.0707881128989679
0.3,0.007,0.004,0.5714285714285714,0.7318480148354976,0.04138625497235727,0.6227126719677508,0.06797676380353777,0.4661578379536551,0.10511797936968403,-0.6138757590206864,0.06693339691933267,0.4461563579554545,0.008655447361168123,0.46080823907209884,0.04646853954929194,0.9036498894177685,0.027371787291447815,0.6501908459762602,0.017767256836879502,0.12593758049480175,0.004858772373855415,0.7722191502567718,0.13703777612624207
0.3,0.007,0.006,0.8571428571428571,0.6923938800347333,0.0413101958878417,0.5928472310171949,0.06550849889732872,0.4511011309919694,0.09966528132472491,-0.5867909768667966,0.06766346748444763,0.44865517267567634,0.006858267066137005,0.4294353820830543,0.04383180696666812,0.9008838404382509,0.03388922504123964,0.7163061696440457,0.021763053160660267,0.13358589923038416,0.005734768958456437,0.7765697712636631,0.11467593120176404
0.28,0.007,0.01,1.4285714285714286,0.5846453771851714,0.040677935883234456,0.50597769997374,0.0640244149148385,0.33650765559399465,0.09893849652343842,-0.4925068324128826,0.08239823258054801,0.44489219152779,0.007892560551543514,0.34327719186125405,0.029006473536196547,0.8815236185568006,0.0279148091341279,0.7654970632010293,0.029348385271140847,0.14461608705465107,0.007525657254480092,0.7773459775519683,0.0734013242360778
0.3,0.003,0.006,2.0,0.6305700780291356,0.043899850261208184,0.5515201667571634,0.05719039424370969,0.41777004519388106,0.0976722975856081,-0.561530117982754,0.04746376556871188,0.4433767635672024,0.009150316388482058,0.38139404682855027,0.035464451180189566,0.9020688724996473,0.03077086076507582,0.7133544874974723,0.02097058584184163,0.14946158529160544,0.007831243580253633,0.7841848000692184,0.05672574301969623
0.3,0.007,0.008,1.1428571428571428,0.6523215802267617,0.04300413879948773,0.5645979934059123,0.06961174169761492,0.42474704362900706,0.10130715815940383,-0.562771535503012,0.07614612103641621,0.4461355867170269,0.009674314391456296,0.39850800686540394,0.04292023732101234,0.9047065897929049,0.029058942650731483,0.7639655864600743,0.0249941981798574,0.13955115278673857,0.007024231800977162,0.8048957853508811,0.10614689260817385
0.3,0.003,0.008,2.6666666666666665,0.5860800242068139,0.047264751661582845,0.5182651848454619,0.059392498276191745,0.39298487666832704,0.08645148271327227,-0.5246369746935045,0.06330065562757795,0.44230236745605406,0.009808500359139015,0.34724949169622865,0.03553188689915922,0.9018033874333746,0.028872704191931574,0.7619311679873901,0.023423202811892748,0.1581257805907033,0.010336642391195926,0.8175199867871488,0.07143867222806272
0.28,0.005,0.01,2.0,0.5600324111410055,0.049123961363055815,0.5062383016424162,0.05799740050787876,0.3641915457224525,0.0989774830383768,-0.5052511312183418,0.06502824457922546,0.4455419121285663,0.008682871521125068,0.33111735593793445,0.0361421380403887,0.8901847467976609,0.030514567488488947,0.7713748801370426,0.02398712274282586,0.1519440965851568,0.010278825570995388,0.819951960602548,0.08134586253062452
0.28,0.003,0.01,3.3333333333333335,0.5239125123697027,0.03415467383878027,0.48290074922808496,0.0583165230222558,0.3394199473434611,0.10389504600735183,-0.4776072332832114,0.05755581093057317,0.44379935380620833,0.008657662109888484,0.3042944665661078,0.02640392977159732,0.8670815973363739,0.04078908697517667,0.763024508347715,0.019079733864371087,0.15775621059236947,0.008612321458364236,0.8199619630244113,0.06422982335653586
0.3,0.005,0.01,2.0,0.5572897908301262,0.039776097394693066,0.484895188732464,0.067948140130453,0.3065819278239561,0.08870940995563682,-0.4806278064926728,0.06180673085160185,0.44267803463891797,0.006985690658065074,0.3228638778102019,0.027296111986646904,0.9122733921166241,0.0267613936439841,0.7874821386678501,0.020477785999355153,0.1559149895384323,0.009186248469904809,0.8397732119503705,0.07170951105542066
0.3,0.007,0.01,1.4285714285714286,0.6186773616049709,0.0471588159984138,0.5324020409092478,0.07237857069710972,0.39440029068288,0.10365868799836642,-0.5452930912738989,0.07205651598471423,0.4449178829827485,0.008601829462345332,0.370295488956955,0.04357492377409404,0.917822944760377,0.036963159078034685,0.7981493882546962,0.02537251642674983,0.14441112627330843,0.008913942154289457,0.8500130430307639,0.07652369540186416
0.3,0.003,0.01,3.3333333333333335,0.5321844610118973,0.053330583888740755,0.482511964250782,0.06430793693344267,0.36997789164573736,0.08264468215977445,-0.48431753941960354,0.06446418736893428,0.44510075303528157,0.007028971291335618,0.3097654201455186,0.037050007831890226,0.9179049882596276,0.027125420718098012,0.7923268731770717,0.0208330559821959,0.1655310669224315,0.012826569860452082,0.8831199023757825,0.0875631007120016
